C,C1,C2
1.0699999999999999e-10,6.8e-11,3.9e-11
1.09e-10,2.7e-11,8.2e-11
1.09e-10,8.2e-11,2.7e-11
1.1e-10,9.999999999999999e-11,1e-11
1.1e-10,1e-11,9.999999999999999e-11
1.1199999999999999e-10,9.999999999999999e-11,1.2e-11
1.1199999999999999e-10,1.2e-11,9.999999999999999e-11
1.12e-10,5.6e-11,5.6e-11
1.1499999999999999e-10,9.999999999999999e-11,1.5e-11
1.1499999999999999e-10,1.5e-11,9.999999999999999e-11
1.1499999999999999e-10,4.7e-11,6.8e-11
1.1499999999999999e-10,6.8e-11,4.7e-11
1.15e-10,3.3e-11,8.2e-11
1.15e-10,8.2e-11,3.3e-11
1.1799999999999998e-10,9.999999999999999e-11,1.8e-11
1.1799999999999998e-10,1.8e-11,9.999999999999999e-11
1.2e-10,0,1.2e-10
1.2e-10,1.2e-10,0
1.21e-10,3.9e-11,8.2e-11
1.21e-10,8.2e-11,3.9e-11
1.22e-10,9.999999999999999e-11,2.1999999999999998e-11
1.22e-10,2.1999999999999998e-11,9.999999999999999e-11
1.2399999999999999e-10,5.6e-11,6.8e-11
1.2399999999999999e-10,6.8e-11,5.6e-11
1.27e-10,9.999999999999999e-11,2.7e-11
1.27e-10,2.7e-11,9.999999999999999e-11
1.29e-10,4.7e-11,8.2e-11
1.29e-10,8.2e-11,4.7e-11
1.3e-10,1.2e-10,1e-11
1.3e-10,1e-11,1.2e-10
1.32e-10,1.2e-10,1.2e-11
1.32e-10,1.2e-11,1.2e-10
1.33e-10,9.999999999999999e-11,3.3e-11
1.33e-10,3.3e-11,9.999999999999999e-11
1.35e-10,1.2e-10,1.5e-11
1.35e-10,1.5e-11,1.2e-10
1.36e-10,6.8e-11,6.8e-11
1.38e-10,1.2e-10,1.8e-11
1.38e-10,1.8e-11,1.2e-10
1.38e-10,5.6e-11,8.2e-11
1.38e-10,8.2e-11,5.6e-11
1.3899999999999999e-10,9.999999999999999e-11,3.9e-11
1.3899999999999999e-10,3.9e-11,9.999999999999999e-11
1.42e-10,1.2e-10,2.1999999999999998e-11
1.42e-10,2.1999999999999998e-11,1.2e-10
1.4699999999999998e-10,9.999999999999999e-11,4.7e-11
1.4699999999999998e-10,4.7e-11,9.999999999999999e-11
1.47e-10,1.2e-10,2.7e-11
1.47e-10,2.7e-11,1.2e-10
1.5e-10,0,1.5e-10
1.5e-10,1.5e-10,0
1.5e-10,6.8e-11,8.2e-11
1.5e-10,8.2e-11,6.8e-11
1.53e-10,1.2e-10,3.3e-11
1.53e-10,3.3e-11,1.2e-10
1.5599999999999998e-10,9.999999999999999e-11,5.6e-11
1.5599999999999998e-10,5.6e-11,9.999999999999999e-11
1.59e-10,1.2e-10,3.9e-11
1.59e-10,3.9e-11,1.2e-10
1.6e-10,1.5e-10,1e-11
1.6e-10,1e-11,1.5e-10
1.62e-10,1.5e-10,1.2e-11
1.62e-10,1.2e-11,1.5e-10
1.64e-10,8.2e-11,8.2e-11
1.65e-10,1.5e-10,1.5e-11
1.65e-10,1.5e-11,1.5e-10
1.67e-10,1.2e-10,4.7e-11
1.67e-10,4.7e-11,1.2e-10
1.68e-10,9.999999999999999e-11,6.8e-11
1.68e-10,1.5e-10,1.8e-11
1.68e-10,1.8e-11,1.5e-10
1.68e-10,6.8e-11,9.999999999999999e-11
1.72e-10,1.5e-10,2.1999999999999998e-11
1.72e-10,2.1999999999999998e-11,1.5e-10
1.76e-10,1.2e-10,5.6e-11
1.76e-10,5.6e-11,1.2e-10
1.77e-10,1.5e-10,2.7e-11
1.77e-10,2.7e-11,1.5e-10
1.8e-10,0,1.8e-10
1.8e-10,1.8e-10,0
1.82e-10,9.999999999999999e-11,8.2e-11
1.82e-10,8.2e-11,9.999999999999999e-11
1.83e-10,1.5e-10,3.3e-11
1.83e-10,3.3e-11,1.5e-10
1.88e-10,1.2e-10,6.8e-11
1.88e-10,6.8e-11,1.2e-10
1.89e-10,1.5e-10,3.9e-11
1.89e-10,3.9e-11,1.5e-10
1.9e-10,1.8e-10,1e-11
1.9e-10,1e-11,1.8e-10
1.92e-10,1.8e-10,1.2e-11
1.92e-10,1.2e-11,1.8e-10
1.95e-10,1.8e-10,1.5e-11
1.95e-10,1.5e-11,1.8e-10
1.97e-10,1.5e-10,4.7e-11
1.97e-10,4.7e-11,1.5e-10
